================================================================================
Engine Log - Started at 2026-03-15 13:03:57
================================================================================

[13:03:57.658] [INFO ] VoxelEngine initialized from Desktop platform with Standalone RuntimeContext.
[13:03:57.669] [INFO ] [EntryPoint:37] Creating engine
[13:03:57.670] [INFO ] [Heartbeat:57] Frame rate limit disabled (unlimited FPS)
[13:03:57.672] [INFO ] [EntryPoint:44] Starting engine...
[13:03:57.896] [INFO ] [DesktopWindow:26] Creating window: 'VoxelEngine' (1280x720)
[13:03:58.133] [INFO ] [DesktopWindow:40] Desktop window created successfully.
[13:03:58.450] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: GraphicsContext
[13:03:58.450] [INFO ] [GL_GraphicsDevice:9] Testing log
[13:03:58.451] [EXTRAINFO] [Heartbeat:64] Starting Heartbeat
[13:03:58.468] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.485] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.501] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.502] [INFO ] [EngineLoop:27] ONTick in EngineLoop
[13:03:58.518] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.535] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.551] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.552] [INFO ] [EngineLoop:27] ONTick in EngineLoop
[13:03:58.568] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.585] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.601] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.602] [INFO ] [EngineLoop:27] ONTick in EngineLoop
[13:03:58.618] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.635] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.651] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.652] [INFO ] [EngineLoop:27] ONTick in EngineLoop
[13:03:58.668] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.685] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.701] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.702] [INFO ] [EngineLoop:27] ONTick in EngineLoop
[13:03:58.718] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.735] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.751] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.752] [INFO ] [EngineLoop:27] ONTick in EngineLoop
[13:03:58.768] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.785] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.801] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
[13:03:58.802] [INFO ] [EngineLoop:27] ONTick in EngineLoop
[13:03:58.818] [INFO ] [EngineLoop:17] OnFixedUpdate in EngineLoop
