================================================================================
Engine Log - Started at 2026-03-16 19:04:23
================================================================================

[19:04:23.998] [INFO ] VoxelEngine initialized from Desktop platform with Standalone RuntimeContext.
[19:04:24.009] [INFO ] [EntryPoint:37] Creating engine
[19:04:24.012] [INFO ] [Heartbeat:57] Frame rate limit disabled (unlimited FPS)
[19:04:24.069] [INFO ] [EntryPoint:47] Starting engine...
[19:04:24.076] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: IGraphicsDevice
[19:04:24.078] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: IAssetsManager
[19:04:24.080] [INFO ] [DesktopWindow:26] Creating window: 'VoxelEngine' (1280x720)
[19:04:24.162] [INFO ] [DesktopWindow:40] Desktop window created successfully.
[19:04:24.452] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: IWindowSurface
[19:04:24.453] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: UniverseManager
[19:04:24.455] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: CamerasRegistries
[19:04:24.459] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: RenderManager
[19:04:24.460] [INFO ] [Heartbeat:57] Frame rate limit set to 165,0 FPS
[19:04:24.461] [EXTRAINFO] [Heartbeat:64] Starting Heartbeat
[19:04:24.463] [INFO ] [Game:17] guheugheuhgeui
[19:04:24.465] [DEBUG] [Features.Rendering:40] OnUniverseCreated
[19:04:24.477] [DEBUG] [Features.Rendering:34] OnSceneCreated
[19:04:24.486] [DEBUG] [GameSetup:14] Game setup is running for scene: (Scene: scene_01, ID: 0)
[19:04:24.539] [DEBUG] [RenderManager:47] AAA
[19:04:24.656] [DEBUG] [RenderManager:47] AAA
[19:04:24.662] [DEBUG] [RenderManager:47] AAA
[19:04:24.674] [DEBUG] [RenderManager:47] AAA
[19:04:24.684] [DEBUG] [RenderManager:47] AAA
[19:04:24.695] [DEBUG] [RenderManager:47] AAA
[19:04:24.706] [DEBUG] [RenderManager:47] AAA
[19:04:24.724] [DEBUG] [RenderManager:47] AAA
[19:04:24.731] [DEBUG] [RenderManager:47] AAA
[19:04:24.742] [DEBUG] [RenderManager:47] AAA
[19:04:24.754] [DEBUG] [RenderManager:47] AAA
[19:04:24.766] [DEBUG] [RenderManager:47] AAA
[19:04:24.778] [DEBUG] [RenderManager:47] AAA
[19:04:24.790] [DEBUG] [RenderManager:47] AAA
[19:04:24.803] [DEBUG] [RenderManager:47] AAA
[19:04:24.815] [DEBUG] [RenderManager:47] AAA
[19:04:24.827] [DEBUG] [RenderManager:47] AAA
[19:04:24.839] [DEBUG] [RenderManager:47] AAA
[19:04:24.851] [DEBUG] [RenderManager:47] AAA
[19:04:24.863] [DEBUG] [RenderManager:47] AAA
[19:04:24.875] [DEBUG] [RenderManager:47] AAA
[19:04:24.887] [DEBUG] [RenderManager:47] AAA
[19:04:24.899] [DEBUG] [RenderManager:47] AAA
[19:04:24.912] [DEBUG] [RenderManager:47] AAA
[19:04:24.924] [DEBUG] [RenderManager:47] AAA
[19:04:24.936] [DEBUG] [RenderManager:47] AAA
[19:04:24.948] [DEBUG] [RenderManager:47] AAA
[19:04:24.960] [DEBUG] [RenderManager:47] AAA
[19:04:24.972] [DEBUG] [RenderManager:47] AAA
[19:04:24.984] [DEBUG] [RenderManager:47] AAA
[19:04:24.996] [DEBUG] [RenderManager:47] AAA
[19:04:25.008] [DEBUG] [RenderManager:47] AAA
[19:04:25.021] [DEBUG] [RenderManager:47] AAA
[19:04:25.033] [DEBUG] [RenderManager:47] AAA
[19:04:25.045] [DEBUG] [RenderManager:47] AAA
[19:04:25.057] [DEBUG] [RenderManager:47] AAA
[19:04:25.069] [DEBUG] [RenderManager:47] AAA
[19:04:25.081] [DEBUG] [RenderManager:47] AAA
[19:04:25.093] [DEBUG] [RenderManager:47] AAA
[19:04:25.106] [DEBUG] [RenderManager:47] AAA
[19:04:25.118] [DEBUG] [RenderManager:47] AAA
[19:04:25.130] [DEBUG] [RenderManager:47] AAA
[19:04:25.142] [DEBUG] [RenderManager:47] AAA
[19:04:25.154] [DEBUG] [RenderManager:47] AAA
[19:04:25.166] [DEBUG] [RenderManager:47] AAA
[19:04:25.178] [DEBUG] [RenderManager:47] AAA
[19:04:25.190] [DEBUG] [RenderManager:47] AAA
