================================================================================
Engine Log - Started at 2026-03-22 10:52:00
================================================================================

[10:52:00.420] [INFO ] VoxelEngine initialized from Desktop platform with Standalone RuntimeContext.
[10:52:00.430] [INFO ] [EntryPoint:39] Creating engine
[10:52:00.431] [INFO ] [EntryPoint:50] Starting engine...
[10:52:00.434] [DEBUG] [Engine:53] [Engine] Initializing Core Services & Drivers...
[10:52:00.438] [INFO ] [DesktopWindow:26] Creating window: 'VoxelEngine' (1280x720)
[10:52:00.515] [INFO ] [DesktopWindow:40] Desktop window created successfully.
[10:52:00.516] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: IWindowSurface
[10:52:00.739] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: IGraphicsDriver
[10:52:00.746] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: IGraphicsDevice
[10:52:00.746] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: IGraphicsFactory
[10:52:00.746] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: IFileManager
[10:52:00.747] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: IAssetsManager
[10:52:00.749] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: UniverseManager
[10:52:00.752] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: IRenderer
[10:52:00.768] [INFO ] [Heartbeat:57] Frame rate limit disabled (unlimited FPS)
[10:52:00.769] [INFO ] [Heartbeat:57] Frame rate limit set to 165,0 FPS
[10:52:00.769] [EXTRAINFO] [Heartbeat:64] Starting Heartbeat
[10:52:00.788] [DEBUG] [GameSetup:14] Game setup is running for scene: (Scene: scene_01, ID: 0)
[10:52:00.892] [DEBUG] [SetupPass:19] Clearing screen
[10:52:00.899] [DEBUG] [SetupPass:19] Clearing screen
[10:52:00.916] [DEBUG] [SetupPass:19] Clearing screen
[10:52:00.978] [DEBUG] [SetupPass:19] Clearing screen
[10:52:00.983] [DEBUG] [SetupPass:19] Clearing screen
[10:52:00.989] [DEBUG] [SetupPass:19] Clearing screen
[10:52:00.995] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.001] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.008] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.014] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.020] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.026] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.032] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.040] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.046] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.052] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.058] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.064] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.070] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.076] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.082] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.088] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.094] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.100] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.106] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.112] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.119] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.124] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.131] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.137] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.143] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.149] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.155] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.161] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.167] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.173] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.179] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.185] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.191] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.197] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.203] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.209] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.215] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.221] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.227] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.233] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.240] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.246] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.252] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.258] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.264] [DEBUG] [SetupPass:19] Clearing screen
[10:52:01.270] [DEBUG] [SetupPass:19] Clearing screen
